,title,price,disc
0,"Asatryan Consulting1,031 հայտարարություն126 հետևորդ13 կարծիքԹողնել մեկնաբանություն{""@context"":""https://schema.org/"",""@type"":""AggregateRating"",""ratingValue"":4.7,""ratingCount"":13,""bestRating"":5,""itemReviewed"":{""@type"":""LocalBusiness"",""name"":""Asatryan Consulting"",""image"":""https://upa.list.am/9772.jpg""}}","Ֆիլտրներ$158,0003 սենյականոց բնակարան Կիևյան փողոցում, 78 ք.մ., բարձր առաստաղներ, 3/5 հարկ, կապիտալ վերանորոգվածԿենտրոն, 3 սեն., 78 ք.մ., 3/5 հարկ$439,0005 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաղրամյան պողոտայում, 165 ք.մ., 3+ սանհանգույցԱրաբկիր, 5 սեն., 165 ք.մ., 11/17 հարկ550,000,000 ֏5 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 195 ք.մ., 2 սանհանգույց, բարձր առաստաղներԿենտրոն, 5 սեն., 195 ք.մ., 4/12 հարկ$340,0004 սենյականոց բնակարան Դերենիկ Դեմիրճյանի փողոցում, 136 ք.մ., 2 սանհանգույց, նախավերջին հարկԿենտրոն, 4 սեն., 136 ք.մ., 7/8 հարկ$400,0003 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 150 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 150 ք.մ., 3/5 հարկ$110,0003 սենյականոց բնակարան Ազատության պողոտայում, 67 ք.մ., 2 սանհանգույց, բարձր առաստաղներԱրաբկիր, 3 սեն., 67 ք.մ., 9/9 հարկ$150,000Ընդարձակ 3 սենյականոց բնակարան Վիկտոր Համբարձումյան փողոցում, 198 ք.մ., մի քանի պատշգամբԱրաբկիր, 3 սեն., 198 ք.մ., 9/9 հարկ$355,0004 սենյականոց բնակարան Օրբելի եղբայրների փողոցում, 146 ք.մ., 2 սանհանգույց, 2/5 հարկԱրաբկիր, 4 սեն., 146 ք.մ., 2/5 հարկ$225,0004 սենյականոց բնակարան Վարդանանց փողոցում, 148 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, քարե շենքԿենտրոն, 4 սեն., 148 ք.մ., 4/4 հարկ$1,500,000Ընդարձակ 6 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 336 ք.մ., 3+ սանհանգույցԿենտրոն, 6 սեն., 336 ք.մ., 5/14 հարկ$185,000Ստուգված է3 սենյականոց բնակարան նորակառույց շենքում Օրբելի եղբայրների փողոցում, 74 ք.մ., 2 սանհանգույցԱրաբկիր, 3 սեն., 74 ք.մ., 2/10 հարկ$350,0004 սենյականոց բնակարան Մեսրոպ Մաշտոցի պողոտայում, 85 ք.մ., 2 սանհանգույց, բարձր առաստաղներԿենտրոն, 4 սեն., 85 ք.մ., 4/4 հարկ$295,0004 սենյականոց բնակարան Մեսրոպ Մաշտոցի պողոտայում, 80 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբԿենտրոն, 4 սեն., 80 ք.մ., 4/4 հարկ5 սենյականոց բնակարան նորակառույց շենքում Լեոյի փողոցում, 231 ք.մ., 3+ սանհանգույց, բարձր առաստաղներԿենտրոն, 5 սեն., 231 ք.մ., 13/16 հարկ$235,0004 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնց փողոցում, 103 ք.մ., 2 սանհանգույցՔանաքեռ Զեյթուն, 4 սեն., 103 ք.մ., 9/11 հարկ$500,0002 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 93 ք.մ., 2 սանհանգույցԱրաբկիր, 2 սեն., 93 ք.մ., 5/6 հարկ8 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 350 ք.մ., 3+ սանհանգույցԿենտրոն, 8 սեն., 350 ք.մ., 4/5 հարկ$315,0003 սենյականոց բնակարան նորակառույց շենքում Պարոնյան փողոցում, 120 ք.մ., բարձր առաստաղներ, 10/13 հարկԿենտրոն, 3 սեն., 120 ք.մ., 10/13 հարկ$385,0004 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաղրամյան պողոտայում, 127 ք.մ., 2 սանհանգույցԿենտրոն, 4 սեն., 127 ք.մ., 6/14 հարկ$565,0008 սենյականոց բնակարան նորակառույց շենքում Արաբկիրում, 376 ք.մ., 3+ սանհանգույց, բարձր առաստաղներԱրաբկիր, 8 սեն., 376 ք.մ., 17/17 հարկ$57,0002 սենյականոց բնակարան Շարուրի փողոցում, 49 ք.մ., 2/2 հարկ, կապիտալ վերանորոգված, քարե շենքՇենգավիթ, 2 սեն., 49 ք.մ., 2/2 հարկԸնդարձակ 2 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 107 ք.մ., բարձր առաստաղներԿենտրոն, 2 սեն., 107 ք.մ., 6/18 հարկ$95,0003 սենյականոց բնակարան Գյուլիքեխվյան փողոցում, 77 ք.մ., 4/9 հարկ, մասնակի վերանորոգումՆոր Նորք, 3 սեն., 77 ք.մ., 4/9 հարկ$100,0002 սենյականոց բնակարան Մարշալ Բաղրամյան պողոտայում, 61 ք.մ., բարձր առաստաղներ, քարե շենքԱրաբկիր, 2 սեն., 61 ք.մ., 4/4 հարկԸնդարձակ 5 սենյականոց բնակարան նորակառույց շենքում Թումանյան փողոցում, 260 ք.մ., 3+ սանհանգույցԿենտրոն, 5 սեն., 260 ք.մ., 5/7 հարկ2 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 69 ք.մ., բարձր առաստաղներՆորք Մարաշ, 2 սեն., 69 ք.մ., 5/17 հարկ$140,0006 սենյականոց բնակարան Բագրատունյաց պողոտայում, 117 ք.մ., 2 սանհանգույց, մի քանի պատշգամբՇենգավիթ, 6 սեն., 117 ք.մ., 8/8 հարկ$185,0003 սենյականոց բնակարան Պուշկինի փողոցում, 140 ք.մ., բարձր առաստաղներ, նախավերջին հարկԿենտրոն, 3 սեն., 140 ք.մ., 8/9 հարկ4 սենյականոց բնակարան նորակառույց շենքում Այգեձորի փողոցում, 179 ք.մ., 2 սանհանգույցԿենտրոն, 4 սեն., 179 ք.մ., 2/6 հարկԸնդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 400 ք.մ., 3+ սանհանգույցԿենտրոն, 4 սեն., 400 ք.մ., 17/17 հարկ$250,0003 սենյականոց բնակարան Ամիրյան փողոցում, 80 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, նախավերջին հարկԿենտրոն, 3 սեն., 80 ք.մ., 4/5 հարկ$330,0003 սենյականոց բնակարան նորակառույց շենքում Ռիգայի փողոցում, 140 ք.մ., 2 սանհանգույց, բարձր առաստաղներԱրաբկիր, 3 սեն., 140 ք.մ., 12/12 հարկ$260,0003 սենյականոց բնակարան Մոսկովյան փողոցում, 92 ք.մ., բարձր առաստաղներ, 1/4 հարկ, կապիտալ վերանորոգվածԿենտրոն, 3 սեն., 92 ք.մ., 1/4 հարկ$550,0005 սենյականոց բնակարան նորակառույց շենքում Աբովյան փողոցում, 190 ք.մ., 2 սանհանգույցԿենտրոն, 5 սեն., 190 ք.մ., 5/5 հարկ$350,0003 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 77 ք.մ., բարձր առաստաղներ, 7/10 հարկԿենտրոն, 3 սեն., 77 ք.մ., 7/10 հարկ$340,0004 սենյականոց բնակարան Պուշկինի փողոցում, 160 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, մի քանի պատշգամբԿենտրոն, 4 սեն., 160 ք.մ., 4/4 հարկ$315,0003 սենյականոց բնակարան նորակառույց շենքում Սասնա Ծռերի փողոցում, 114 ք.մ., բարձր առաստաղներԿենտրոն, 3 սեն., 114 ք.մ., 8/14 հարկ$480,0006 սենյականոց բնակարան Հանրապետության փողոցում, 230 ք.մ., 3+ սանհանգույց, բարձր առաստաղներԿենտրոն, 6 սեն., 230 ք.մ., 5/6 հարկ$550,000Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Բելյակովի փողոցում, 265 ք.մ., 2 սանհանգույցԿենտրոն, 4 սեն., 265 ք.մ., 9/10 հարկ$190,0002 սենյականոց բնակարան նորակառույց շենքում Պարոնյան փողոցում, 78 ք.մ., բարձր առաստաղներ, 3/14 հարկԿենտրոն, 2 սեն., 78 ք.մ., 3/14 հարկ$200,0002 սենյականոց բնակարան նորակառույց շենքում Նաիրի Զարյան փողոցում, 80 ք.մ., բարձր առաստաղներԱրաբկիր, 2 սեն., 80 ք.մ., 12/17 հարկ$255,0003 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 69 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 69 ք.մ., 2/8 հարկ$255,0003 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 68 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 68 ք.մ., 2/8 հարկ$359,0003 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 150 ք.մ., բարձր առաստաղներԿենտրոն, 3 սեն., 150 ք.մ., 6/7 հարկ$550,0004 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 154 ք.մ., 2 սանհանգույց, բարձր առաստաղներԿենտրոն, 4 սեն., 154 ք.մ., 7/10 հարկ$750,0004 սենյականոց բնակարան նորակառույց շենքում Պուշկինի փողոցում, 180 ք.մ., 3+ սանհանգույցԿենտրոն, 4 սեն., 180 ք.մ., 5/9 հարկ5 սենյականոց բնակարան նորակառույց շենքում Հրաչյա Ներսիսյան փողոցում, 170 ք.մ., 3+ սանհանգույցՔանաքեռ Զեյթուն, 5 սեն., 170 ք.մ., 18/19 հարկ4 սենյականոց բնակարան նորակառույց շենքում Մեսրոպ Մաշտոցի պողոտայում, 164 ք.մ., 3+ սանհանգույցԿենտրոն, 4 սեն., 164 ք.մ., 9/14 հարկ$295,0003 սենյականոց բնակարան նորակառույց շենքում Քեռու փողոցում, 100 ք.մ., 2 սանհանգույց, բարձր առաստաղներԱրաբկիր, 3 սեն., 100 ք.մ., 4/18 հարկ$210,0003 սենյականոց բնակարան նորակառույց շենքում Մովսես Խորենացու փողոցում, 95 ք.մ., բարձր առաստաղներԿենտրոն, 3 սեն., 95 ք.մ., 4/7 հարկ$525,0005 սենյականոց բնակարան Հանրապետության փողոցում, 209 ք.մ., 3+ սանհանգույց, բարձր առաստաղներԿենտրոն, 5 սեն., 209 ք.մ., 4/4 հարկ$120,0004 սենյականոց բնակարան Ավետ Ավետիսյան փողոցում, 82 ք.մ., 2 սանհանգույց, նախավերջին հարկԱրաբկիր, 4 սեն., 82 ք.մ., 15/16 հարկ$500,0003 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 109 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 109 ք.մ., 1/6 հարկ3 սենյականոց բնակարան Ադմիրալ Իսակովի պողոտայում, 89 ք.մ., 2 սանհանգույց, 2/4 հարկ, քարե շենքԿենտրոն, 3 սեն., 89 ք.մ., 2/4 հարկ3 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 121 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 121 ք.մ., 6/9 հարկ$535,000Ընդարձակ 7 սենյականոց բնակարան նորակառույց շենքում Վարդանանց փողոցում, 356 ք.մ., 3+ սանհանգույցԿենտրոն, 7 սեն., 356 ք.մ., 3/14 հարկ$230,0001 սենյականոց բնակարան նորակառույց շենքում Բյուզանդի փողոցում, 38 ք.մ., բարձր առաստաղներ, 10/15 հարկԿենտրոն, 1 սեն., 38 ք.մ., 10/15 հարկ$75,0003 սենյականոց բնակարան Արշակունյաց պողոտայում, 71 ք.մ., 1/2 հարկ, կապիտալ վերանորոգված, քարե շենքՇենգավիթ, 3 սեն., 71 ք.մ., 1/2 հարկ53,000,000 ֏3 սենյականոց բնակարան Գարեգին Նժդեհի փողոցում, 96 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, քարե շենքՇենգավիթ, 3 սեն., 96 ք.մ., 5/5 հարկ$210,0003 սենյականոց բնակարան նորակառույց շենքում Մովսես Խորենացու փողոցում, 95 ք.մ., բարձր առաստաղներԿենտրոն, 3 սեն., 95 ք.մ., 4/6 հարկ68,000,000 ֏3 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնց փողոցում, 67 ք.մ., բարձր առաստաղներԱրաբկիր, 3 սեն., 67 ք.մ., 15/18 հարկ$238,0002 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 94 ք.մ., 2 սանհանգույցԱրաբկիր, 2 սեն., 94 ք.մ., 1/6 հարկ$195,0004 սենյականոց բնակարան Կոմիտասի պողոտայում, 91 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբ, 3/5 հարկԱրաբկիր, 4 սեն., 91 ք.մ., 3/5 հարկ$510,0004 սենյականոց բնակարան նորակառույց շենքում, Ծիծեռնակաբերդի խճուղի, 158 ք.մ., 2 սանհանգույցՄալաթիա Սեբաստիա, 4 սեն., 158 ք.մ., 7/14 հարկ$300,0003 սենյականոց բնակարան նորակառույց շենքում Վարդանանց փողոցում, 90 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 90 ք.մ., 18/22 հարկ$160,0003 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնցի փողոցում, 72 ք.մ., 2 սանհանգույցԱրաբկիր, 3 սեն., 72 ք.մ., 8/9 հարկ4 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 130 ք.մ., 3+ սանհանգույցՆորք Մարաշ, 4 սեն., 130 ք.մ., 14/17 հարկ$182,0003 սենյականոց բնակարան նորակառույց շենքում Ռիգայի փողոցում, 117 ք.մ., բարձր առաստաղներ, 10/12 հարկԱրաբկիր, 3 սեն., 117 ք.մ., 10/12 հարկ$82,0002 սենյականոց բնակարան Ազատության պողոտայում, 53 ք.մ., 2 սանհանգույց, 7/9 հարկԱրաբկիր, 2 սեն., 53 ք.մ., 7/9 հարկ$195,0003 սենյականոց բնակարան Հանրապետության փողոցում, 118 ք.մ., բարձր առաստաղներ, կոսմետիկ վերանորոգումԿենտրոն, 3 սեն., 118 ք.մ., 4/4 հարկ2 սենյականոց բնակարան Թումանյան փողոցում, 61 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգվածԿենտրոն, 2 սեն., 61 ք.մ., 9/10 հարկ$215,0004 սենյականոց բնակարան նորակառույց շենքում Հրաչյա Քոչար փողոցում, 107 ք.մ., 2 սանհանգույցԱրաբկիր, 4 սեն., 107 ք.մ., 2/7 հարկ$430,0003 սենյականոց բնակարան նորակառույց շենքում, 142 ք.մ., 2 սանհանգույց, բարձր առաստաղներԱյլ երկրներ, 3 սեն., 142 ք.մ., 15/24 հարկ3 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 112 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 112 ք.մ., 2/3 հարկ4 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 174 ք.մ., 3+ սանհանգույց, բարձր առաստաղներԿենտրոն, 4 սեն., 174 ք.մ., 10/17 հարկ$750,0005 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 200 ք.մ., 2 սանհանգույցԿենտրոն, 5 սեն., 200 ք.մ., 5/10 հարկ$750,000Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 207 ք.մ.Կենտրոն, 4 սեն., 207 ք.մ., 2/6 հարկ$390,0008 սենյականոց բնակարան Սայաթ-Նովայի պողոտայում, 350 ք.մ., բարձր առաստաղներ, նախավերջին հարկԿենտրոն, 8 սեն., 350 ք.մ., 9/10 հարկ3 սենյականոց բնակարան Լենինգրադյան փողոցում, 87 ք.մ., բարձր առաստաղներ, 8/12 հարկԿենտրոն, 3 սեն., 87 ք.մ., 8/12 հարկԸնդարձակ 8 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 763 ք.մ., 3+ սանհանգույցԿենտրոն, 8 սեն., 763 ք.մ., 14/14 հարկ$400,0007 սենյականոց բնակարան Պուշկինի փողոցում, 350 ք.մ., 2 սանհանգույց, նախավերջին հարկԿենտրոն, 7 սեն., 350 ք.մ., 4/5 հարկ$1,200,0007 սենյականոց բնակարան նորակառույց շենքում Հյուսիսային պողոտայում, 270 ք.մ., 3+ սանհանգույցԿենտրոն, 7 սեն., 270 ք.մ., 8/11 հարկ$635,0003 սենյականոց բնակարան նորակառույց շենքում Դերենիկ Դեմիրճյանի փողոցում, 127 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 127 ք.մ., 7/14 հարկ$320,0003 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 73 ք.մ., բարձր առաստաղներ, 3/10 հարկԿենտրոն, 3 սեն., 73 ք.մ., 3/10 հարկ4 սենյականոց բնակարան նորակառույց շենքում Մոսկովյան փողոցում, 174 ք.մ., 3+ սանհանգույցԿենտրոն, 4 սեն., 174 ք.մ., 7/7 հարկԸնդարձակ 3 սենյականոց բնակարան նորակառույց շենքում Մոսկովյան փողոցում, 187 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 187 ք.մ., 4/14 հարկ$289,0003 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաղրամյան պողոտայում, 116 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 116 ք.մ., 12/14 հարկ1 սենյականոց բնակարան Նալբանդյան փողոցում, 35 ք.մ., բարձր առաստաղներ, կապիտալ վերանորոգվածԿենտրոն, 1 սեն., 35 ք.մ., 5/5 հարկ3 սենյականոց բնակարան Բայրոնի փողոցում, 70 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, 2/4 հարկԿենտրոն, 3 սեն., 70 ք.մ., 2/4 հարկԸնդարձակ 5 սենյականոց բնակարան նորակառույց շենքում Եկմալյան փողոցում, 515 ք.մ., 3+ սանհանգույցԿենտրոն, 5 սեն., 515 ք.մ., 8/9 հարկ$200,0003 սենյականոց բնակարան նորակառույց շենքում Ալեք Մանուկյանի փողոցում, 99 ք.մ., 2 սանհանգույցԿենտրոն, 3 սեն., 99 ք.մ., 3/8 հարկ$295,0003 սենյականոց բնակարան Նալբանդյան փողոցում, 118 ք.մ., 2 սանհանգույց, բարձր առաստաղներԿենտրոն, 3 սեն., 118 ք.մ., 3/5 հարկ$350,000Ընդարձակ 2 սենյականոց բնակարան նորակառույց շենքում Պարոնյանի փողոցում, 104 ք.մ., 2 սանհանգույցԿենտրոն, 2 սեն., 104 ք.մ., 5/7 հարկ92,000,000 ֏2 սենյականոց բնակարան Տերյան փողոցում, 45 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբ, 2/5 հարկԿենտրոն, 2 սեն., 45 ք.մ., 2/5 հարկ$2,900,0004 սենյականոց բնակարան նորակառույց շենքում Ռուսաստանում, 160 ք.մ., 3+ սանհանգույց, բարձր առաստաղներՌուսաստան, 4 սեն., 160 ք.մ., 8/9 հարկ$178,0003 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 120 ք.մ., բարձր առաստաղներԿենտրոն, 3 սեն., 120 ք.մ., 11/14 հարկ   123   Հաջորդը >",ՏարածաշրջանԱմբողջըԱմբողջըԵրևանԱջափնյակԱրաբկիրԱվանԴավիթաշենԷրեբունիՔանաքեռ ԶեյթունԿենտրոնՄալաթիա ՍեբաստիաՆոր ՆորքՇենգավիթՆորք ՄարաշՆուբարաշենԱրմավիրԱրմավիրԷջմիածինԱրգավանդՓարաքարԱրտամետԱրարատԱրտաշատԱրգավանդՄխչյանՆոր ԿյուրինԳոռավանՍուրենավանԿոտայքԱբովյանԱկունքԱրամուսԱռինջԱրզականԲջնիՉարենցավանՁորաղբյուրԳառնիՋրվեժՔանաքեռավանՔասախՆոր ՀաճընՊռոշյանՊտղնիԾաղկաձորԵղվարդԶովունիԱրտավազՀանքավանՇիրակԳյումրիԼոռիՍտեփանավանՓամբակԳեղարքունիքՄարտունիՍևանԱրագածոտնԱգարակԱշտարակԲյուրականԿարբիՕհանավանՓարպիԱրտաշավանՄուղնիՏավուշԴիլիջանԻջևանՎայոց ՁորԵղեգնաձորՀայաստանից դուրսՌուսաստանԱյլ երկրներ
1,,"$158,000",Գին
2,ԱմբողջըԵրևանԱջափնյակԱրաբկիրԱվանԴավիթաշենԷրեբունիՔանաքեռ ԶեյթունԿենտրոնՄալաթիա ՍեբաստիաՆոր ՆորքՇենգավիթՆորք ՄարաշՆուբարաշենԱրմավիրԱրմավիրԷջմիածինԱրգավանդՓարաքարԱրտամետԱրարատԱրտաշատԱրգավանդՄխչյանՆոր ԿյուրինԳոռավանՍուրենավանԿոտայքԱբովյանԱկունքԱրամուսԱռինջԱրզականԲջնիՉարենցավանՁորաղբյուրԳառնիՋրվեժՔանաքեռավանՔասախՆոր ՀաճընՊռոշյանՊտղնիԾաղկաձորԵղվարդԶովունիԱրտավազՀանքավանՇիրակԳյումրիԼոռիՍտեփանավանՓամբակԳեղարքունիքՄարտունիՍևանԱրագածոտնԱգարակԱշտարակԲյուրականԿարբիՕհանավանՓարպիԱրտաշավանՄուղնիՏավուշԴիլիջանԻջևանՎայոց ՁորԵղեգնաձորՀայաստանից դուրսՌուսաստանԱյլ երկրներ,"$439,000",ՏարադրամԱմբողջըԱմբողջը֏ (AMD)$ (USD)
3,Ամբողջը֏ (AMD)$ (USD),"550,000,000 ֏",Շինության տիպԱմբողջըԱմբողջըՔարեՊանելայինՄոնոլիտԱղյուսեԿասետայինՓայտե
4,ԱմբողջըՔարեՊանելայինՄոնոլիտԱղյուսեԿասետայինՓայտե,"$340,000",ՆորակառույցԱմբողջըԱմբողջըՈչԱյո
5,ԱմբողջըՈչԱյո,"$400,000",ՎերելակԱմբողջըԱմբողջըԱռկա էԱռկա չէ
