,title,price,disc
116,ԱմբողջըԱռկա էԱռկա չէ,"$95,000",Ընդհանուր մակերես
117,Ամբողջը12345678+,"$129,000",Սենյակների քանակԱմբողջըԱմբողջը12345678+
118,Ամբողջը123+,"$95,000",Սանհանգույցների քանակԱմբողջըԱմբողջը123+
119,1234567891011121314151617181920212223242526272829303132+,"$217,000",Հարկսկսած1234567891011121314151617181920212223242526272829303132+մինչև1234567891011121314151617181920212223242526272829303132+
120,1234567891011121314151617181920212223242526272829303132+,"$235,000",ԿահույքԱմբողջըԱմբողջըԱռկա էԱռկա չէՄասնակի կահույքՀամաձայնությամբ
121,ԱմբողջըԱռկա էԱռկա չէՄասնակի կահույքՀամաձայնությամբ,"$460,000",ՎերանորոգումԱմբողջըԱմբողջըՉվերանորոգվածՀին վերանորոգումՄասնակի վերանորոգումԿոսմետիկ վերանորոգումԵվրովերանորոգվածԴիզայներական ոճով վերանորոգվածԿապիտալ վերանորոգված
122,ԱմբողջըՉվերանորոգվածՀին վերանորոգումՄասնակի վերանորոգումԿոսմետիկ վերանորոգումԵվրովերանորոգվածԴիզայներական ոճով վերանորոգվածԿապիտալ վերանորոգված,"$175,000","Նոր Նորք, 3 սեն., 78 ք.մ., 7/9 հարկ"
123,"3 սենյականոց բնակարան Գայի պողոտայում, 78 ք.մ., 7/9 հարկ, կապիտալ վերանորոգված","$179,000","Կենտրոն, 6 սեն., 200 ք.մ., 4/5 հարկ"
124,"6 սենյականոց բնակարան Մեսրոպ Մաշտոցի պողոտայում, 200 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$359,000","Կենտրոն, 4 սեն., 149 ք.մ., 3/6 հարկ"
125,"4 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 149 ք.մ., 2 սանհանգույց","$345,000","Կենտրոն, 4 սեն., 130 ք.մ., 3/5 հարկ"
126,"4 սենյականոց բնակարան նորակառույց շենքում Դերենիկ Դեմիրճյանի փողոցում, 130 ք.մ., 2 սանհանգույց","$195,000","Արաբկիր, 1 սեն., 30 ք.մ., 13/13 հարկ"
127,"1 սենյականոց բնակարան նորակառույց շենքում Վահրամ Փափազյան փողոցում, 30 ք.մ., կապիտալ վերանորոգված","$99,000","Արաբկիր, 5 սեն., 210 ք.մ., 12/12 հարկ"
128,"5 սենյականոց բնակարան նորակառույց շենքում Վահրամ Փափազյան փողոցում, 210 ք.մ., 3+ սանհանգույց","$150,000","Արաբկիր, 2 սեն., 56 ք.մ., 5/5 հարկ"
129,"2 սենյականոց բնակարան Արաբկիրում, 56 ք.մ., քարե շենք","$183,000","Արաբկիր, 3 սեն., 68 ք.մ., 5/6 հարկ"
130,"3 սենյականոց բնակարան, Թբիլիսյան խճուղի, 68 ք.մ., նախավերջին հարկ, կոսմետիկ վերանորոգում, քարե շենք","$380,000","Դավիթաշեն, 3 սեն., 79 ք.մ., 3/14 հարկ"
131,"3 սենյականոց բնակարան, Դավթաշեն 2-րդ թաղամաս, 79 ք.մ., 3/14 հարկ","$410,000","Դավիթաշեն, 4 սեն., 110 ք.մ., 8/12 հարկ"
132,"4 սենյականոց բնակարան նորակառույց շենքում Անաստաս Միկոյանի փողոցում, 110 ք.մ., 2 սանհանգույց","$125,000","Կենտրոն, 3 սեն., 130 ք.մ., 1/6 հարկ"
133,"3 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 130 ք.մ., 3+ սանհանգույց","$230,000","Նորք Մարաշ, 4 սեն., 122 ք.մ., 2/17 հարկ"
134,"4 սենյականոց բնակարան նորակառույց շենքում Նորք Մարաշում, 122 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$191,000","Արաբկիր, 4 սեն., 170 ք.մ., 10/15 հարկ"
135,"4 սենյականոց բնակարան նորակառույց շենքում Օրբելի եղբայրների փողոցում, 170 ք.մ., 2 սանհանգույց","$1,380,000","Նորք Մարաշ, 4 սեն., 116 ք.մ., 7/17 հարկ"
136,"4 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 116 ք.մ., 2 սանհանգույց","$205,000","Կենտրոն, 3 սեն., 65 ք.մ., 11/16 հարկ"
137,"3 սենյականոց բնակարան Ամիրյան փողոցում, 65 ք.մ., 11/16 հարկ, կապիտալ վերանորոգված","$185,000","Կենտրոն, 4 սեն., 180 ք.մ., 2/7 հարկ"
138,"4 սենյականոց բնակարան նորակառույց շենքում, Այգեձորի 1-ին նրբանցք, 180 ք.մ., 3+ սանհանգույց","$230,000","Կենտրոն, 4 սեն., 218 ք.մ., 1/6 հարկ"
139,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Այգեձորի փողոցում, 218 ք.մ., 3+ սանհանգույց","$195,000","Կենտրոն, 3 սեն., 93 ք.մ., 2/14 հարկ"
140,"3 սենյականոց բնակարան Տիգրան Մեծի պողոտայում, 93 ք.մ., 2/14 հարկ, կապիտալ վերանորոգված","$410,000","Արաբկիր, 4 սեն., 123 ք.մ., 6/8 հարկ"
141,"4 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնցի փողոցում, 123 ք.մ., 2 սանհանգույց","$230,000","Կենտրոն, 2 սեն., 54 ք.մ., 7/15 հարկ"
142,"2 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 54 ք.մ., բարձր առաստաղներ","$260,000","Կենտրոն, 6 սեն., 244 ք.մ., 11/13 հարկ"
143,"6 սենյականոց բնակարան նորակառույց շենքում Չարենցի փողոցում, 244 ք.մ., 3+ սանհանգույց","$142,000","Կենտրոն, 3 սեն., 63 ք.մ., 7/10 հարկ"
144,"3 սենյականոց բնակարան Պուշկինի փողոցում, 63 ք.մ., 7/10 հարկ, դիզայներական ոճով վերանորոգված","$800,000","Շենգավիթ, 3 սեն., 73 ք.մ., 1/4 հարկ"
145,"3 սենյականոց բնակարան Մայիսի 9-ի փողոցում, 73 ք.մ., բարձր առաստաղներ, 1/4 հարկ","$220,000","Էրեբունի, 3 սեն., 80 ք.մ., 3/4 հարկ"
146,"3 սենյականոց բնակարան նորակառույց շենքում Մուրացանի փողոցում, 80 ք.մ., բարձր առաստաղներ","$165,000","Շենգավիթ, 4 սեն., 120 ք.մ., 3/4 հարկ"
147,"4 սենյականոց բնակարան Եղբայրության փողոցում, 120 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված","$420,000","Կենտրոն, 5 սեն., 200 ք.մ., 4/8 հարկ"
148,"5 սենյականոց բնակարան նորակառույց շենքում Խորենացու փողոցում, 200 ք.մ., 3+ սանհանգույց","$850,000","Դավիթաշեն, 4 սեն., 150 ք.մ., 2/18 հարկ"
149,"4 սենյականոց բնակարան նորակառույց շենքում Սասնա Ծռերի փողոցում, 150 ք.մ., 2 սանհանգույց","$244,000","Դավիթաշեն, 3 սեն., 79 ք.մ., 7/9 հարկ"
150,"3 սենյականոց բնակարան Տիգրան Պետրոսյանի փողոցում, 79 ք.մ., 7/9 հարկ, կոսմետիկ վերանորոգում","$224,000","Կենտրոն, 4 սեն., 621 ք.մ., 9/9 հարկ"
151,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Հյուսիսային պողոտայում, 621 ք.մ., 3+ սանհանգույց","$350,000","Կենտրոն, 3 սեն., 65 ք.մ., 5/10 հարկ"
152,"3 սենյականոց բնակարան Թումանյան փողոցում, 65 ք.մ., 5/10 հարկ, կապիտալ վերանորոգված","75,000,000 ֏","Կենտրոն, 3 սեն., 65 ք.մ., 5/5 հարկ"
153,"3 սենյականոց բնակարան Դերենիկ Դեմիրճյանի փողոցում, 65 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբ","$255,000","Կենտրոն, 4 սեն., 275 ք.մ., 3/7 հարկ"
154,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Պուշկինի փողոցում, 275 ք.մ., 2 սանհանգույց","$375,000","Դավիթաշեն, 4 սեն., 155 ք.մ., 10/12 հարկ"
155,"4 սենյականոց բնակարան նորակառույց շենքում Անաստաս Միկոյանի փողոցում, 155 ք.մ., 2 սանհանգույց","145,000,000 ֏","Կենտրոն, 3 սեն., 70 ք.մ., 10/10 հարկ"
156,"3 սենյականոց բնակարան Վարդանանց փողոցում, 70 ք.մ., դիզայներական ոճով վերանորոգված","$850,000","Կենտրոն, 8 սեն., 472 ք.մ., 4/5 հարկ"
157,"Ընդարձակ 8 սենյականոց բնակարան Տերյան փողոցում, 472 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$179,000","Կենտրոն, 5 սեն., 72 ք.մ., 5/8 հարկ"
158,"5 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 72 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$145,000","Կենտրոն, 3 սեն., 78 ք.մ., 3/5 հարկ"
159,"3 սենյականոց բնակարան Զաքյան փողոցում, 78 ք.մ., բարձր առաստաղներ, 3/5 հարկ, կապիտալ վերանորոգված","$225,000","Արաբկիր, 4 սեն., 220 ք.մ., 13/16 հարկ"
160,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Նաիրի Զարյան փողոցում, 220 ք.մ., 2 սանհանգույց","$189,000","Կենտրոն, 3 սեն., 120 ք.մ., 6/12 հարկ"
161,"3 սենյականոց բնակարան նորակառույց շենքում Չարենցի փողոցում, 120 ք.մ., 2 սանհանգույց","$509,000","Կենտրոն, 5 սեն., 200 ք.մ., 4/5 հարկ"
162,"5 սենյականոց բնակարան Եզնիկ Կողբացու փողոցում, 200 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$235,000","Արաբկիր, 3 սեն., 90 ք.մ., 1/4 հարկ"
163,"3 սենյականոց բնակարան Ազատության պողոտայում, 90 ք.մ., բարձր առաստաղներ, 1/4 հարկ","$285,200","Կենտրոն, 4 սեն., 156 ք.մ., 9/14 հարկ"
164,"4 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաղրամյան պողոտայում, 156 ք.մ., 3+ սանհանգույց","$385,000","Կենտրոն, 3 սեն., 105 ք.մ., 3/22 հարկ"
165,"3 սենյականոց բնակարան նորակառույց շենքում, Ծիծեռնակաբերդի խճուղի, 105 ք.մ., 2 սանհանգույց","$530,000","Կենտրոն, 3 սեն., 77 ք.մ., 1/12 հարկ"
166,"3 սենյականոց բնակարան Սայաթ-Նովայի պողոտայում, 77 ք.մ., բարձր առաստաղներ, 1/12 հարկ","$155,000","Կենտրոն, 8 սեն., 320 ք.մ., 4/5 հարկ"
167,"8 սենյականոց բնակարան Եզնիկ Կողբացու փողոցում, 320 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$135,000","Ռուսաստան, 4 սեն., 145 ք.մ., 6/9 հարկ"
168,"4 սենյականոց բնակարան Ռուսաստանում, 145 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ, մի քանի պատշգամբ","$199,000","Արաբկիր, 3 սեն., 86 ք.մ., 7/8 հարկ"
169,"3 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնցի փողոցում, 86 ք.մ., 2 սանհանգույց","$315,000","Կենտրոն, 8 սեն., 650 ք.մ., 2/2 հարկ"
170,"Ընդարձակ 8 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 650 ք.մ., 3+ սանհանգույց","$390,000","Կենտրոն, 3 սեն., 86 ք.մ., 3/5 հարկ"
171,"3 սենյականոց բնակարան Ավետիք Իսահակյան փողոցում, 86 ք.մ., բարձր առաստաղներ, 3/5 հարկ","$380,000","Կենտրոն, 2 սեն., 70 ք.մ., 4/8 հարկ"
172,"2 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 70 ք.մ., բարձր առաստաղներ","$130,000","Կենտրոն, 4 սեն., 176 ք.մ., 3/14 հարկ"
173,"4 սենյականոց բնակարան նորակառույց շենքում Ձորափի փողոցում, 176 ք.մ., 3+ սանհանգույց","$235,000","Նորք Մարաշ, 3 սեն., 110 ք.մ., 16/17 հարկ"
174,"3 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 110 ք.մ., 2 սանհանգույց",no price,"Նորք Մարաշ, 3 սեն., 112 ք.մ., 14/17 հարկ"
175,"3 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 112 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 3 սեն., 100 ք.մ., 5/5 հարկ"
176,"3 սենյականոց բնակարան նորակառույց շենքում Սայաթ-Նովայի պողոտայում, 100 ք.մ., բարձր առաստաղներ",no price,"Կենտրոն, 3 սեն., 100 ք.մ., 5/5 հարկ"
177,"3 սենյականոց բնակարան Գրիգոր Լուսավորչի փողոցում, 100 ք.մ., բարձր առաստաղներ, կոսմետիկ վերանորոգում",no price,"Կենտրոն, 3 սեն., 100 ք.մ., 9/11 հարկ"
178,"3 սենյականոց բնակարան նորակառույց շենքում Եզնիկ Կողբացու փողոցում, 100 ք.մ., 2 սանհանգույց",no price,"Նորք Մարաշ, 3 սեն., 89 ք.մ., 4/5 հարկ"
179,"3 սենյականոց բնակարան նորակառույց շենքում Գևորգ Հովսեփյանի փողոցում, 89 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 3 սեն., 110 ք.մ., 3/5 հարկ"
180,"3 սենյականոց բնակարան Աբովյան փողոցում, 110 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբ, 3/5 հարկ",no price,"Նորք Մարաշ, 2 սեն., 89 ք.մ., 14/17 հարկ"
181,"2 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 89 ք.մ., 2 սանհանգույց",no price,"Նորք Մարաշ, 3 սեն., 110 ք.մ., 16/17 հարկ"
182,"3 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 110 ք.մ., բարձր առաստաղներ",no price,"Դավիթաշեն, 5 սեն., 158 ք.մ., 10/19 հարկ"
183,"5 սենյականոց բնակարան նորակառույց շենքում Սասնա Ծռերի փողոցում, 158 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 4 սեն., 201 ք.մ., 2/16 հարկ"
184,"Ընդարձակ 4 սենյականոց բնակարան նորակառույց շենքում Բյուզանդի փողոցում, 201 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 3 սեն., 94 ք.մ., 5/9 հարկ"
185,"3 սենյականոց բնակարան Ադմիրալ Իսակովի պողոտայում, 94 ք.մ., 2 սանհանգույց, 5/9 հարկ",no price,"Արաբկիր, 1 սեն., 46 ք.մ., 3/6 հարկ"
186,"1 սենյականոց բնակարան Գուլակյան փողոցում, 46 ք.մ., 3/6 հարկ, քարե շենք",no price,"Կենտրոն, 1 սեն., 44 ք.մ., 3/3 հարկ"
187,"1 սենյականոց բնակարան նորակառույց շենքում Արգիշտի փողոցում, 44 ք.մ., բարձր առաստաղներ",no price,"Կենտրոն, 3 սեն., 74 ք.մ., 8/11 հարկ"
188,"3 սենյականոց բնակարան Աբովյան փողոցում, 74 ք.մ., 8/11 հարկ, կապիտալ վերանորոգված",no price,"Արաբկիր, 4 սեն., 162 ք.մ., 1/5 հարկ"
189,"4 սենյականոց բնակարան Կոմիտասի պողոտայում, 162 ք.մ., մի քանի պատշգամբ, 1/5 հարկ, քարե շենք",no price,"Կենտրոն, 3 սեն., 103 ք.մ., 2/12 հարկ"
190,"3 սենյականոց բնակարան Այգեստանի 9րդ փողոցում, 103 ք.մ., 2/12 հարկ, կապիտալ վերանորոգված",no price,"Կենտրոն, 3 սեն., 90 ք.մ., 5/5 հարկ"
191,"3 սենյականոց բնակարան Տիգրան Մեծի պողոտայում, 90 ք.մ., 2 սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 8 սեն., 282 ք.մ., 14/14 հարկ"
192,"8 սենյականոց բնակարան նորակառույց շենքում Վարդանանց փողոցում, 282 ք.մ., 3+ սանհանգույց",no price,"Կենտրոն, 4 սեն., 130 ք.մ., 1/6 հարկ"
193,"4 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 130 ք.մ., 3+ սանհանգույց",no price,"Քանաքեռ Զեյթուն, 3 սեն., 124 ք.մ., 14/16 հարկ"
194,"3 սենյականոց բնակարան նորակառույց շենքում Քանաքեռ Զեյթունում, 124 ք.մ., 2 սանհանգույց",no price,"Արաբկիր, 3 սեն., 115 ք.մ., 7/15 հարկ"
195,"3 սենյականոց բնակարան նորակառույց շենքում Նաիրի Զարյան փողոցում, 115 ք.մ., 2 սանհանգույց",no price,"Մալաթիա Սեբաստիա, 3 սեն., 75 ք.մ., 8/9 հարկ"
196,"3 սենյականոց բնակարան Զորավար Անդրանիկի փողոցում, 75 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",no price,"Կենտրոն, 5 սեն., 300 ք.մ., 5/6 հարկ"
197,"Ընդարձակ 5 սենյականոց բնակարան նորակառույց շենքում Ալեք Մանուկյանի փողոցում, 300 ք.մ.",no price,"Արաբկիր, 3 սեն., 109 ք.մ., 13/18 հարկ"
198,"3 սենյականոց բնակարան նորակառույց շենքում Արաբկիրում, 109 ք.մ., բարձր առաստաղներ, 13/18 հարկ",no price,"Կենտրոն, 3 սեն., 105 ք.մ., 5/9 հարկ"
199,"3 սենյականոց բնակարան նորակառույց շենքում Հյուսիսային պողոտայում, 105 ք.մ., 2 սանհանգույց",no price,"Արաբկիր, 2 սեն., 86 ք.մ., 6/10 հարկ"
200,"2 սենյականոց բնակարան նորակառույց շենքում Արաբկիր 51 փողոցում, 86 ք.մ., 6/10 հարկ",no price,"Էրեբունի, 3 սեն., 110 ք.մ., 4/5 հարկ"
201,"3 սենյականոց բնակարան Նոր Արեշի 11րդ փողոցում, 110 ք.մ., նախավերջին հարկ, կապիտալ վերանորոգված",no price,"Արաբկիր, 3 սեն., 80 ք.մ., 2/8 հարկ"
202,"3 սենյականոց բնակարան նորակառույց շենքում Ազատության պողոտայում, 80 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 8 սեն., 477 ք.մ., 12/12 հարկ"
203,"Ընդարձակ 8 սենյականոց բնակարան նորակառույց շենքում Մեսրոպ Մաշտոցի պողոտայում, 477 ք.մ.",no price,"Կենտրոն, 2 սեն., 63 ք.մ., 14/14 հարկ"
204,"2 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 63 ք.մ., բարձր առաստաղներ",no price,"Կենտրոն, 3 սեն., 130 ք.մ., 4/10 հարկ"
205,"3 սենյականոց բնակարան նորակառույց շենքում Նար–Դոսի փողոցում, 130 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 5 սեն., 128 ք.մ., 1/5 հարկ"
206,"5 սենյականոց բնակարան Աբովյան փողոցում, 128 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ, 1/5 հարկ",no price,"Կենտրոն, 3 սեն., 117 ք.մ., 4/4 հարկ"
207,"3 սենյականոց բնակարան Մեսրոպ Մաշտոցի պողոտայում, 117 ք.մ., 2 սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 3 սեն., 135 ք.մ., 4/14 հարկ"
208,"3 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 135 ք.մ., 2 սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 2 սեն., 97 ք.մ., 4/8 հարկ"
209,"2 սենյականոց բնակարան նորակառույց շենքում Թումանյան փողոցում, 97 ք.մ., 4/8 հարկ",no price,"Կենտրոն, 3 սեն., 82 ք.մ., 4/9 հարկ"
210,"3 սենյականոց բնակարան Նալբանդյան փողոցում, 82 ք.մ., 2 սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 4 սեն., 185 ք.մ., 5/5 հարկ"
211,"4 սենյականոց բնակարան Նալբանդյան փողոցում, 185 ք.մ., 2 սանհանգույց, բարձր առաստաղներ",no price,"Կենտրոն, 5 սեն., 265 ք.մ., 6/12 հարկ"
212,"Ընդարձակ 5 սենյականոց բնակարան նորակառույց շենքում Տերյան փողոցում, 265 ք.մ., 3+ սանհանգույց",no price,"Արաբկիր, 4 սեն., 94 ք.մ., 6/7 հարկ"
213,"4 սենյականոց բնակարան Կոմիտասի պողոտայում, 94 ք.մ., 2 սանհանգույց, նախավերջին հարկ",no price,"Արաբկիր, 3 սեն., 98 ք.մ., 5/5 հարկ"
214,"3 սենյականոց բնակարան Կոմիտասի պողոտայում, 98 ք.մ., բարձր առաստաղներ, քարե շենք",no price,"Կենտրոն, 3 սեն., 85 ք.մ., 4/5 հարկ"
215,"3 սենյականոց բնակարան Մեսրոպ Մաշտոցի պողոտայում, 85 ք.մ., բարձր առաստաղներ, նախավերջին հարկ",no price,"Կենտրոն, 4 սեն., 130 ք.մ., 1/6 հարկ"
216,"4 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 130 ք.մ., 2 սանհանգույց",no price,"Նորք Մարաշ, 2 սեն., 90 ք.մ., 14/17 հարկ"
217,"2 սենյականոց բնակարան նորակառույց շենքում Մյասնիկյանի պողոտայում, 90 ք.մ., 2 սանհանգույց",no price,"Կենտրոն, 2 սեն., 55 ք.մ., 6/15 հարկ"
218,"2 սենյականոց բնակարան նորակառույց շենքում Փավստոս Բուզանդի փողոցում, 55 ք.մ., բարձր առաստաղներ",no price,no disc
219,© 2005-2023 List.am,no price,no disc
